latitude;longitude;elevation;utc_offset_seconds;timezone;timezone_abbreviation
52.54833;13.407822;38;0;GMT;GMT
;;;;;
time;temperature_2m (°C);rain (mm);shortwave_radiation_instant (W/m²);sunshine_duration (s);
2020-01-01T00:00;2.1;0;0;0;
2020-01-01T01:00;1.8;0;0;0;
2020-01-01T02:00;1.2;0;0;0;
2020-01-01T03:00;0.4;0;0;0;
2020-01-01T04:00;0;0;0;0;
2020-01-01T05:00;-0.3;0;0;0;
2020-01-01T06:00;-0.6;0;0;0;
2020-01-01T07:00;-1;0;0;0;
2020-01-01T08:00;-0.4;0;27;12.75;
2020-01-01T09:00;1.2;0;96.4;3459.64;
2020-01-01T10:00;2.6;0;127.9;3600;
2020-01-01T11:00;3.6;0;144.5;3600;
2020-01-01T12:00;4;0;152.7;3600;
2020-01-01T13:00;4.1;0;112.9;3600;
2020-01-01T14:00;3.6;0;63.3;3600;
2020-01-01T15:00;2.1;0;0;657.74;
2020-01-01T16:00;0.8;0;0;0;
2020-01-01T17:00;0.2;0;0;0;
2020-01-01T18:00;0.1;0;0;0;
2020-01-01T19:00;-0.3;0;0;0;
2020-01-01T20:00;-0.5;0;0;0;
2020-01-01T21:00;-0.8;0;0;0;
2020-01-01T22:00;-2.1;0;0;0;
2020-01-01T23:00;-2.9;0;0;0;
2020-01-02T00:00;-1.7;0;0;0;
2020-01-02T01:00;-3.2;0;0;0;
2020-01-02T02:00;-3.4;0;0;0;
2020-01-02T03:00;-3.1;0;0;0;
2020-01-02T04:00;-2.4;0;0;0;
2020-01-02T05:00;-2.5;0;0;0;
2020-01-02T06:00;-3.7;0;0;0;
2020-01-02T07:00;-3.2;0;0;0;
2020-01-02T08:00;-2.1;0;29.4;25.88;
2020-01-02T09:00;0.1;0;122.5;3475.36;
2020-01-02T10:00;2.4;0;193.1;3600;
2020-01-02T11:00;4.1;0;227.7;3600;
2020-01-02T12:00;5;0;217.3;3600;
2020-01-02T13:00;5.3;0;164.5;3600;
2020-01-02T14:00;3.9;0;82.6;3600;
2020-01-02T15:00;1.2;0;0;1097.29;
2020-01-02T16:00;0.7;0;0;0;
2020-01-02T17:00;0.3;0;0;0;
2020-01-02T18:00;-0.2;0;0;0;
2020-01-02T19:00;-0.9;0;0;0;
2020-01-02T20:00;-1.2;0;0;0;
2020-01-02T21:00;-1.3;0;0;0;
2020-01-02T22:00;-1.4;0;0;0;
2020-01-02T23:00;-0.6;0;0;0;
2020-01-03T00:00;1.1;0;0;0;
2020-01-03T01:00;2.2;0;0;0;
2020-01-03T02:00;2.2;0;0;0;
2020-01-03T03:00;2;0;0;0;
2020-01-03T04:00;1.9;0;0;0;
2020-01-03T05:00;1.9;0;0;0;
2020-01-03T06:00;2.5;0;0;0;
2020-01-03T07:00;3.2;0;0;0;
2020-01-03T08:00;4.2;0;14.6;0;
2020-01-03T09:00;4.9;0;53.6;0;
2020-01-03T10:00;5.6;0;56;0;
2020-01-03T11:00;6.3;0;47.8;0;
2020-01-03T12:00;5.6;0;47.2;0;
2020-01-03T13:00;6;0;28.8;0;
2020-01-03T14:00;6.2;0;15.5;0;
2020-01-03T15:00;6.3;0.2;0;0;
2020-01-03T16:00;6.3;0.4;0;0;
2020-01-03T17:00;6.2;0.6;0;0;
2020-01-03T18:00;6.3;0.2;0;0;
2020-01-03T19:00;6.4;0.5;0;0;
2020-01-03T20:00;6.4;0.7;0;0;
2020-01-03T21:00;6.4;0.6;0;0;
2020-01-03T22:00;6.3;0.5;0;0;
2020-01-03T23:00;5.1;0;0;0;
2020-01-04T00:00;4.7;0;0;0;
2020-01-04T01:00;3.9;0;0;0;
2020-01-04T02:00;3.5;0;0;0;
2020-01-04T03:00;3.4;0;0;0;
2020-01-04T04:00;3.2;0;0;0;
2020-01-04T05:00;3.3;0;0;0;
2020-01-04T06:00;3.3;0;0;0;
2020-01-04T07:00;3.6;0;0;0;
2020-01-04T08:00;4.1;0;9.7;0;
2020-01-04T09:00;4.6;0.1;27.5;0;
2020-01-04T10:00;4.6;0.1;20.6;0;
2020-01-04T11:00;4.6;0.1;17.7;0;
2020-01-04T12:00;5.2;0.6;16.4;0;
2020-01-04T13:00;5.3;1.8;41.1;0;
2020-01-04T14:00;5.2;1.2;11.4;0;
2020-01-04T15:00;4.9;0.1;0;0;
2020-01-04T16:00;4;0;0;0;
2020-01-04T17:00;3.3;0;0;0;
2020-01-04T18:00;3;0;0;0;
2020-01-04T19:00;2.9;0;0;0;
2020-01-04T20:00;2.7;0;0;0;
2020-01-04T21:00;2.2;0;0;0;
2020-01-04T22:00;1.5;0;0;0;
2020-01-04T23:00;1;0;0;0;
2020-01-05T00:00;1.1;0;0;0;
2020-01-05T01:00;0.6;0;0;0;
2020-01-05T02:00;0.2;0;0;0;
2020-01-05T03:00;-0.1;0;0;0;
2020-01-05T04:00;-0.5;0;0;0;
2020-01-05T05:00;-0.9;0;0;0;
2020-01-05T06:00;-1.4;0;0;0;
2020-01-05T07:00;-1.8;0;0;0;
2020-01-05T08:00;-1.6;0;31.6;10.89;
2020-01-05T09:00;-0.1;0;124.9;3545.7;
2020-01-05T10:00;1.4;0;179.3;3600;
2020-01-05T11:00;2.4;0;194.7;3600;
2020-01-05T12:00;3.5;0;178.3;3600;
2020-01-05T13:00;3.8;0;104.2;3600;
2020-01-05T14:00;3.5;0;71.5;3600;
2020-01-05T15:00;1.8;0;0;1145.6;
2020-01-05T16:00;1.4;0;0;0;
2020-01-05T17:00;1.2;0;0;0;
2020-01-05T18:00;1.9;0;0;0;
2020-01-05T19:00;2.6;0;0;0;
2020-01-05T20:00;2.8;0;0;0;
2020-01-05T21:00;2.7;0;0;0;
2020-01-05T22:00;3;0;0;0;
2020-01-05T23:00;3.4;0;0;0;
2020-01-06T00:00;3.4;0;0;0;
2020-01-06T01:00;3.6;0;0;0;
2020-01-06T02:00;3.4;0;0;0;
2020-01-06T03:00;3.6;0;0;0;
2020-01-06T04:00;3.7;0;0;0;
2020-01-06T05:00;3.6;0;0;0;
2020-01-06T06:00;3.2;0;0;0;
2020-01-06T07:00;3;0;0;0;
2020-01-06T08:00;3.4;0;12.1;0;
2020-01-06T09:00;3.7;0;21.9;0;
2020-01-06T10:00;4.2;0;49.1;0;
2020-01-06T11:00;4.4;0;50;0;
2020-01-06T12:00;5.1;0;48.2;0;
2020-01-06T13:00;5.1;0;27.2;0;
2020-01-06T14:00;5.1;0;17.3;0;
2020-01-06T15:00;4.7;0;0.4;0;
2020-01-06T16:00;4.4;0;0;0;
2020-01-06T17:00;4.2;0;0;0;
2020-01-06T18:00;3.7;0;0;0;
2020-01-06T19:00;3.1;0;0;0;
2020-01-06T20:00;2.5;0;0;0;
2020-01-06T21:00;2.1;0;0;0;
2020-01-06T22:00;1.3;0;0;0;
