latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.768014,110.39183,110.0,25200,Asia/Bangkok,+07

time,relative_humidity_2m (%),rain (mm),shortwave_radiation_instant (W/m²),sunshine_duration (s)
2020-01-01T00:00,96,0.00,0.0,0.00
2020-01-01T01:00,97,0.00,0.0,0.00
2020-01-01T02:00,96,0.00,0.0,0.00
2020-01-01T03:00,97,0.00,0.0,0.00
2020-01-01T04:00,97,0.00,0.0,0.00
2020-01-01T05:00,98,0.00,0.0,0.00
2020-01-01T06:00,98,2.70,18.1,0.00
2020-01-01T07:00,94,2.50,26.5,0.00
2020-01-01T08:00,89,0.00,180.8,0.00
2020-01-01T09:00,86,0.20,231.2,0.00
2020-01-01T10:00,81,0.10,387.6,0.00
2020-01-01T11:00,78,0.10,464.4,421.74
2020-01-01T12:00,77,0.20,531.4,3007.69
2020-01-01T13:00,74,1.60,466.6,2595.46
2020-01-01T14:00,86,2.20,196.6,0.00
2020-01-01T15:00,90,1.40,85.8,0.00
2020-01-01T16:00,91,1.20,109.6,0.00
2020-01-01T17:00,92,0.60,45.8,0.00
2020-01-01T18:00,94,0.30,0.0,0.00
2020-01-01T19:00,94,1.20,0.0,0.00
2020-01-01T20:00,90,1.60,0.0,0.00
2020-01-01T21:00,93,0.90,0.0,0.00
2020-01-01T22:00,93,0.60,0.0,0.00
2020-01-01T23:00,95,0.60,0.0,0.00
2020-01-02T00:00,95,0.50,0.0,0.00
2020-01-02T01:00,96,0.60,0.0,0.00
2020-01-02T02:00,98,1.20,0.0,0.00
2020-01-02T03:00,98,0.50,0.0,0.00
2020-01-02T04:00,97,0.00,0.0,0.00
2020-01-02T05:00,94,0.30,0.0,0.00
2020-01-02T06:00,94,0.20,15.8,0.00
2020-01-02T07:00,89,0.00,78.2,0.00
2020-01-02T08:00,80,0.00,479.3,3600.00
2020-01-02T09:00,76,0.00,678.2,3600.00
2020-01-02T10:00,72,0.00,808.8,3600.00
2020-01-02T11:00,68,0.00,824.7,3600.00
2020-01-02T12:00,62,0.00,952.0,3600.00
2020-01-02T13:00,77,1.60,176.2,0.00
2020-01-02T14:00,76,0.30,254.4,1465.97
2020-01-02T15:00,73,0.20,456.0,3600.00
2020-01-02T16:00,75,0.10,287.7,3600.00
2020-01-02T17:00,80,0.30,106.3,2238.85
2020-01-02T18:00,86,0.40,0.0,282.13
2020-01-02T19:00,89,0.20,0.0,0.00
2020-01-02T20:00,90,0.10,0.0,0.00
2020-01-02T21:00,92,0.10,0.0,0.00
2020-01-02T22:00,93,0.00,0.0,0.00
2020-01-02T23:00,95,0.00,0.0,0.00
2020-01-03T00:00,96,0.00,0.0,0.00
2020-01-03T01:00,96,0.10,0.0,0.00
2020-01-03T02:00,97,0.10,0.0,0.00
2020-01-03T03:00,95,0.00,0.0,0.00
2020-01-03T04:00,86,0.00,0.0,0.00
2020-01-03T05:00,90,0.00,0.0,0.00
2020-01-03T06:00,89,0.00,34.0,0.00
2020-01-03T07:00,87,0.00,229.5,3600.00
2020-01-03T08:00,82,0.10,432.0,3600.00
2020-01-03T09:00,73,0.50,671.8,3600.00
2020-01-03T10:00,72,0.50,563.0,3600.00
2020-01-03T11:00,69,0.40,734.8,3600.00
2020-01-03T12:00,68,0.10,605.8,3600.00
2020-01-03T13:00,67,0.00,597.6,3600.00
2020-01-03T14:00,72,0.00,441.9,3600.00
2020-01-03T15:00,74,0.00,278.1,3127.76
2020-01-03T16:00,80,0.00,104.9,0.00
2020-01-03T17:00,81,0.00,80.3,74.71
2020-01-03T18:00,85,0.00,0.0,0.00
2020-01-03T19:00,85,0.00,0.0,0.00
2020-01-03T20:00,86,0.00,0.0,0.00
2020-01-03T21:00,91,0.00,0.0,0.00
2020-01-03T22:00,92,1.40,0.0,0.00
2020-01-03T23:00,95,1.40,0.0,0.00
2020-01-04T00:00,93,0.60,0.0,0.00
2020-01-04T01:00,91,0.20,0.0,0.00
2020-01-04T02:00,91,0.10,0.0,0.00
2020-01-04T03:00,94,0.00,0.0,0.00
2020-01-04T04:00,96,0.00,0.0,0.00
2020-01-04T05:00,96,0.00,0.0,0.00
2020-01-04T06:00,96,0.10,22.7,0.00
2020-01-04T07:00,93,0.20,173.8,3486.01
2020-01-04T08:00,90,0.20,166.6,0.00
2020-01-04T09:00,86,0.60,246.3,0.00
2020-01-04T10:00,88,0.90,384.8,0.00
2020-01-04T11:00,85,0.70,364.4,0.00
2020-01-04T12:00,84,0.30,345.6,0.00
2020-01-04T13:00,87,3.70,180.2,0.00
2020-01-04T14:00,85,0.60,365.6,174.85
2020-01-04T15:00,88,0.50,99.3,0.00
2020-01-04T16:00,90,0.40,109.9,0.00
2020-01-04T17:00,92,0.20,70.6,0.00
2020-01-04T18:00,93,0.20,0.0,0.00
2020-01-04T19:00,93,0.20,0.0,0.00
2020-01-04T20:00,92,0.20,0.0,0.00
2020-01-04T21:00,94,0.20,0.0,0.00
2020-01-04T22:00,94,0.30,0.0,0.00
2020-01-04T23:00,94,0.20,0.0,0.00
2020-01-05T00:00,93,0.00,0.0,0.00
2020-01-05T01:00,94,0.00,0.0,0.00
2020-01-05T02:00,94,0.20,0.0,0.00
2020-01-05T03:00,93,0.30,0.0,0.00
2020-01-05T04:00,93,0.10,0.0,0.00
2020-01-05T05:00,93,0.10,0.0,0.00
2020-01-05T06:00,94,0.50,13.7,0.00
2020-01-05T07:00,93,1.00,81.9,0.00
2020-01-05T08:00,88,0.20,273.4,2818.69
2020-01-05T09:00,83,0.20,602.4,3600.00
2020-01-05T10:00,79,0.30,533.3,3600.00
2020-01-05T11:00,85,4.10,446.3,2091.30
2020-01-05T12:00,87,0.90,412.8,1567.06
2020-01-05T13:00,86,0.80,378.0,1691.67
2020-01-05T14:00,88,7.00,241.6,0.00
2020-01-05T15:00,93,0.90,68.3,0.00
2020-01-05T16:00,90,0.30,127.9,0.00
2020-01-05T17:00,89,0.10,101.9,320.20
2020-01-05T18:00,92,0.20,0.0,0.00
2020-01-05T19:00,94,0.30,0.0,0.00
2020-01-05T20:00,96,0.10,0.0,0.00
2020-01-05T21:00,96,0.30,0.0,0.00
2020-01-05T22:00,97,1.40,0.0,0.00
2020-01-05T23:00,98,1.30,0.0,0.00
2020-01-06T00:00,97,0.20,0.0,0.00
2020-01-06T01:00,96,0.10,0.0,0.00
2020-01-06T02:00,94,0.40,0.0,0.00
2020-01-06T03:00,94,0.40,0.0,0.00
2020-01-06T04:00,93,0.70,0.0,0.00
2020-01-06T05:00,91,0.20,0.0,0.00
2020-01-06T06:00,90,0.00,25.1,0.00
2020-01-06T07:00,86,2.00,143.5,2293.03
2020-01-06T08:00,81,0.00,394.0,3600.00
2020-01-06T09:00,77,0.00,680.8,3600.00
2020-01-06T10:00,74,0.00,763.7,3600.00
2020-01-06T11:00,68,0.00,882.5,3600.00
2020-01-06T12:00,68,0.00,804.7,3600.00
2020-01-06T13:00,70,0.10,768.7,3600.00
2020-01-06T14:00,80,2.80,383.5,3140.27
2020-01-06T15:00,85,0.30,264.3,0.00
2020-01-06T16:00,88,0.30,147.6,0.00
2020-01-06T17:00,89,0.90,68.3,0.00
2020-01-06T18:00,94,1.30,0.0,131.12
2020-01-06T19:00,94,0.10,0.0,0.00
2020-01-06T20:00,96,0.10,0.0,0.00
2020-01-06T21:00,97,0.10,0.0,0.00
2020-01-06T22:00,97,0.40,0.0,0.00
2020-01-06T23:00,96,0.30,0.0,0.00
2020-01-07T00:00,94,0.20,0.0,0.00
2020-01-07T01:00,93,0.20,0.0,0.00
2020-01-07T02:00,93,0.20,0.0,0.00
2020-01-07T03:00,94,0.20,0.0,0.00
2020-01-07T04:00,95,0.20,0.0,0.00
2020-01-07T05:00,96,0.20,0.0,0.00
2020-01-07T06:00,94,0.20,11.5,0.00
2020-01-07T07:00,93,0.70,101.9,0.00
2020-01-07T08:00,94,13.00,49.1,0.00
2020-01-07T09:00,94,7.10,15.8,0.00
2020-01-07T10:00,88,0.90,304.5,0.00
2020-01-07T11:00,84,0.10,304.6,0.00
2020-01-07T12:00,81,0.20,453.1,1096.98
2020-01-07T13:00,82,0.20,419.8,417.91
2020-01-07T14:00,86,0.20,311.8,0.00
2020-01-07T15:00,88,1.30,180.1,0.00
2020-01-07T16:00,88,2.20,149.3,0.00
2020-01-07T17:00,94,0.50,55.8,0.00
2020-01-07T18:00,93,0.10,0.0,0.00
2020-01-07T19:00,96,0.00,0.0,0.00
2020-01-07T20:00,97,0.10,0.0,0.00
2020-01-07T21:00,96,0.10,0.0,0.00
2020-01-07T22:00,95,0.00,0.0,0.00
2020-01-07T23:00,96,0.00,0.0,0.00
2020-01-08T00:00,95,0.10,0.0,0.00
2020-01-08T01:00,94,0.00,0.0,0.00
2020-01-08T02:00,95,0.10,0.0,0.00
2020-01-08T03:00,96,0.00,0.0,0.00
2020-01-08T04:00,96,0.00,0.0,0.00
2020-01-08T05:00,96,0.20,0.0,0.00
2020-01-08T06:00,96,0.20,11.5,0.00
2020-01-08T07:00,92,0.00,147.4,2229.29
2020-01-08T08:00,88,0.10,268.1,1879.54
2020-01-08T09:00,85,0.10,434.7,3600.00
2020-01-08T10:00,85,0.20,537.1,3600.00
2020-01-08T11:00,84,2.10,533.8,2452.21
2020-01-08T12:00,87,1.80,301.8,0.00
2020-01-08T13:00,91,0.30,317.1,0.00
2020-01-08T14:00,87,0.30,364.2,921.38
2020-01-08T15:00,83,0.20,289.4,231.95
2020-01-08T16:00,82,0.60,209.9,455.11
2020-01-08T17:00,85,0.20,72.0,0.00
2020-01-08T18:00,91,0.10,0.0,0.00
2020-01-08T19:00,94,0.00,0.0,0.00
2020-01-08T20:00,94,0.20,0.0,0.00
2020-01-08T21:00,92,0.10,0.0,0.00
2020-01-08T22:00,93,0.00,0.0,0.00
2020-01-08T23:00,94,0.00,0.0,0.00
2020-01-09T00:00,96,0.00,0.0,0.00
2020-01-09T01:00,96,0.00,0.0,0.00
2020-01-09T02:00,96,0.00,0.0,0.00
2020-01-09T03:00,95,0.00,0.0,0.00
2020-01-09T04:00,89,0.00,0.0,0.00
2020-01-09T05:00,90,0.00,0.0,0.00
2020-01-09T06:00,96,0.00,27.6,0.00
2020-01-09T07:00,88,0.00,215.7,3600.00
2020-01-09T08:00,84,0.00,428.4,3600.00
2020-01-09T09:00,84,0.10,598.0,3600.00
2020-01-09T10:00,83,0.10,657.9,3600.00
2020-01-09T11:00,77,0.50,804.5,3600.00
2020-01-09T12:00,85,1.60,643.8,3600.00
2020-01-09T13:00,86,1.70,534.5,3600.00
2020-01-09T14:00,88,1.50,468.9,3600.00
2020-01-09T15:00,83,0.30,389.9,3600.00
2020-01-09T16:00,88,0.20,162.6,0.00
2020-01-09T17:00,91,0.20,126.2,3600.00
2020-01-09T18:00,93,0.40,0.0,113.58
2020-01-09T19:00,94,0.10,0.0,0.00
2020-01-09T20:00,94,0.00,0.0,0.00
2020-01-09T21:00,93,0.40,0.0,0.00
2020-01-09T22:00,92,0.10,0.0,0.00
2020-01-09T23:00,91,0.00,0.0,0.00
2020-01-10T00:00,96,0.00,0.0,0.00
2020-01-10T01:00,92,0.00,0.0,0.00
2020-01-10T02:00,96,0.00,0.0,0.00
2020-01-10T03:00,95,0.00,0.0,0.00
2020-01-10T04:00,96,0.00,0.0,0.00
2020-01-10T05:00,95,0.10,0.0,0.00
2020-01-10T06:00,94,0.30,13.9,0.00
2020-01-10T07:00,93,0.30,142.2,1765.13
2020-01-10T08:00,84,0.00,368.4,3600.00
2020-01-10T09:00,83,0.10,424.9,3600.00
2020-01-10T10:00,84,0.10,545.0,3600.00
2020-01-10T11:00,81,0.10,715.5,3600.00
2020-01-10T12:00,77,0.30,550.7,3600.00
2020-01-10T13:00,81,1.30,421.1,980.30
2020-01-10T14:00,90,2.60,171.0,0.00
2020-01-10T15:00,92,0.80,130.6,0.00
2020-01-10T16:00,90,0.50,98.1,0.00
2020-01-10T17:00,90,0.50,52.2,0.00
2020-01-10T18:00,92,0.30,0.0,0.00
2020-01-10T19:00,91,0.20,0.0,0.00
2020-01-10T20:00,91,0.10,0.0,0.00
2020-01-10T21:00,91,0.10,0.0,0.00
2020-01-10T22:00,93,0.00,0.0,0.00
2020-01-10T23:00,95,0.10,0.0,0.00
2020-01-11T00:00,93,0.10,0.0,0.00
2020-01-11T01:00,96,0.10,0.0,0.00
2020-01-11T02:00,96,0.10,0.0,0.00
2020-01-11T03:00,96,0.00,0.0,0.00
2020-01-11T04:00,96,0.00,0.0,0.00
2020-01-11T05:00,97,0.00,0.0,0.00
2020-01-11T06:00,94,0.00,18.5,0.00
2020-01-11T07:00,90,0.00,153.3,1393.52
2020-01-11T08:00,85,0.40,325.6,3600.00
2020-01-11T09:00,84,0.10,363.9,2112.06
2020-01-11T10:00,82,0.10,397.6,1975.96
2020-01-11T11:00,77,0.10,711.5,3600.00
2020-01-11T12:00,75,0.00,581.9,3600.00
2020-01-11T13:00,76,0.10,541.6,3600.00
2020-01-11T14:00,78,0.20,519.6,3600.00
2020-01-11T15:00,82,0.10,242.6,2199.24
2020-01-11T16:00,83,0.00,104.7,0.00
2020-01-11T17:00,87,0.40,50.3,0.00
2020-01-11T18:00,89,0.10,0.0,0.00
2020-01-11T19:00,94,0.30,0.0,0.00
2020-01-11T20:00,97,2.10,0.0,0.00
2020-01-11T21:00,96,2.40,0.0,0.00
2020-01-11T22:00,94,2.10,0.0,0.00
2020-01-11T23:00,92,2.10,0.0,0.00
2020-01-12T00:00,91,1.90,0.0,0.00
2020-01-12T01:00,91,2.50,0.0,0.00
2020-01-12T02:00,91,1.00,0.0,0.00
2020-01-12T03:00,91,0.30,0.0,0.00
2020-01-12T04:00,90,0.00,0.0,0.00
2020-01-12T05:00,90,0.00,0.0,0.00
2020-01-12T06:00,89,0.00,7.0,0.00
2020-01-12T07:00,82,0.00,60.9,0.00
2020-01-12T08:00,76,0.00,261.7,2590.27
2020-01-12T09:00,69,0.00,459.4,3600.00
2020-01-12T10:00,67,0.00,743.7,3600.00
2020-01-12T11:00,65,0.00,794.7,3600.00
2020-01-12T12:00,62,0.00,948.3,3600.00
2020-01-12T13:00,64,0.20,729.0,3600.00
2020-01-12T14:00,68,0.40,562.7,3600.00
2020-01-12T15:00,75,0.00,391.2,3600.00
2020-01-12T16:00,80,0.40,273.5,3600.00
2020-01-12T17:00,83,0.10,141.0,3600.00
2020-01-12T18:00,86,0.10,0.0,2347.73
2020-01-12T19:00,88,0.00,0.0,0.00
2020-01-12T20:00,87,0.00,0.0,0.00
2020-01-12T21:00,89,0.00,0.0,0.00
2020-01-12T22:00,91,0.00,0.0,0.00
2020-01-12T23:00,89,0.00,0.0,0.00
2020-01-13T00:00,90,0.00,0.0,0.00
2020-01-13T01:00,93,0.10,0.0,0.00
2020-01-13T02:00,96,0.10,0.0,0.00
2020-01-13T03:00,94,0.10,0.0,0.00
