latitude;;longitude;elevation;utc_offset_seconds;timezone;timezone_abbreviation;;
-7.768014;;110.39183;110;25200;Asia/Bangkok;7;;
;;;;;;;;
time;;temperature_2m (°C);relative_humidity_2m (%);rain (mm);shortwave_radiation_instant (W/m²);sunshine_duration (s);;
01/01/2020;00:00;24.1;96;0;0;0;;
01/01/2020;01:00;24;97;0;0;0;;
01/01/2020;02:00;24.2;96;0;0;0;;
01/01/2020;03:00;23.9;97;0;0;0;;
01/01/2020;04:00;23.7;97;0;0;0;;
01/01/2020;05:00;23.6;98;0;0;0;;
01/01/2020;06:00;23.7;98;2.7;18.1;0;;
01/01/2020;07:00;24.4;94;2.5;26.5;0;;
01/01/2020;08:00;25.3;89;0;180.8;0;;
01/01/2020;09:00;26;86;0.2;231.2;0;;
01/01/2020;10:00;27.3;81;0.1;387.6;0;;
01/01/2020;11:00;28;78;0.1;464.4;421.74;;
01/01/2020;12:00;28.6;77;0.2;531.4;3007.69;;
01/01/2020;13:00;28.8;74;1.6;466.6;2595.46;;
01/01/2020;14:00;26.6;86;2.2;196.6;0;;
01/01/2020;15:00;26.2;90;1.4;85.8;0;;
01/01/2020;16:00;26.3;91;1.2;109.6;0;;
01/01/2020;17:00;26.1;92;0.6;45.8;0;;
01/01/2020;18:00;25.6;94;0.3;0;0;;
01/01/2020;19:00;25.5;94;1.2;0;0;;
01/01/2020;20:00;25.3;90;1.6;0;0;;
01/01/2020;21:00;24.8;93;0.9;0;0;;
01/01/2020;22:00;24.7;93;0.6;0;0;;
01/01/2020;23:00;24.4;95;0.6;0;0;;
02/01/2020;00:00;24.1;95;0.5;0;0;;
02/01/2020;01:00;23.9;96;0.6;0;0;;
02/01/2020;02:00;23.4;98;1.2;0;0;;
02/01/2020;03:00;23.1;98;0.5;0;0;;
02/01/2020;04:00;22.8;97;0;0;0;;
02/01/2020;05:00;23.1;94;0.3;0;0;;
02/01/2020;06:00;23.1;94;0.2;15.8;0;;
02/01/2020;07:00;24.9;89;0;78.2;0;;
02/01/2020;08:00;26.5;80;0;479.3;3600;;
02/01/2020;09:00;27.7;76;0;678.2;3600;;
02/01/2020;10:00;28.8;72;0;808.8;3600;;
02/01/2020;11:00;29.7;68;0;824.7;3600;;
02/01/2020;12:00;30.6;62;0;952;3600;;
02/01/2020;13:00;27.8;77;1.6;176.2;0;;
02/01/2020;14:00;28.1;76;0.3;254.4;1465.97;;
02/01/2020;15:00;28.4;73;0.2;456;3600;;
02/01/2020;16:00;27.6;75;0.1;287.7;3600;;
02/01/2020;17:00;26.9;80;0.3;106.3;2238.85;;
02/01/2020;18:00;25.8;86;0.4;0;282.13;;
02/01/2020;19:00;25.4;89;0.2;0;0;;
02/01/2020;20:00;25.3;90;0.1;0;0;;
02/01/2020;21:00;24.8;92;0.1;0;0;;
02/01/2020;22:00;24.6;93;0;0;0;;
02/01/2020;23:00;24.3;95;0;0;0;;
03/01/2020;00:00;24;96;0;0;0;;
03/01/2020;01:00;23.6;96;0.1;0;0;;
03/01/2020;02:00;23.5;97;0.1;0;0;;
03/01/2020;03:00;23.3;95;0;0;0;;
03/01/2020;04:00;23.8;86;0;0;0;;
03/01/2020;05:00;22.8;90;0;0;0;;
03/01/2020;06:00;23.6;89;0;34;0;;
03/01/2020;07:00;25.1;87;0;229.5;3600;;
03/01/2020;08:00;26.6;82;0.1;432;3600;;
03/01/2020;09:00;28;73;0.5;671.8;3600;;
03/01/2020;10:00;28.3;72;0.5;563;3600;;
03/01/2020;11:00;29.3;69;0.4;734.8;3600;;
03/01/2020;12:00;29.5;68;0.1;605.8;3600;;
03/01/2020;13:00;29.6;67;0;597.6;3600;;
03/01/2020;14:00;28.7;72;0;441.9;3600;;
03/01/2020;15:00;27.8;74;0;278.1;3127.76;;
03/01/2020;16:00;26.9;80;0;104.9;0;;
03/01/2020;17:00;26.8;81;0;80.3;74.71;;
03/01/2020;18:00;26.1;85;0;0;0;;
03/01/2020;19:00;26.4;85;0;0;0;;
03/01/2020;20:00;26.1;86;0;0;0;;
03/01/2020;21:00;25.4;91;0;0;0;;
03/01/2020;22:00;24.9;92;1.4;0;0;;
03/01/2020;23:00;24.2;95;1.4;0;0;;
04/01/2020;00:00;24.4;93;0.6;0;0;;
04/01/2020;01:00;24.4;91;0.2;0;0;;
04/01/2020;02:00;24.2;91;0.1;0;0;;
04/01/2020;03:00;23.9;94;0;0;0;;
04/01/2020;04:00;23.6;96;0;0;0;;
04/01/2020;05:00;23.4;96;0;0;0;;
04/01/2020;06:00;23.9;96;0.1;22.7;0;;
04/01/2020;07:00;24.6;93;0.2;173.8;3486.01;;
04/01/2020;08:00;25.4;90;0.2;166.6;0;;
04/01/2020;09:00;25.9;86;0.6;246.3;0;;
04/01/2020;10:00;26.3;88;0.9;384.8;0;;
04/01/2020;11:00;26.8;85;0.7;364.4;0;;
04/01/2020;12:00;27.4;84;0.3;345.6;0;;
04/01/2020;13:00;26;87;3.7;180.2;0;;
04/01/2020;14:00;26.6;85;0.6;365.6;174.85;;
04/01/2020;15:00;25.3;88;0.5;99.3;0;;
04/01/2020;16:00;25.6;90;0.4;109.9;0;;
04/01/2020;17:00;25.5;92;0.2;70.6;0;;
04/01/2020;18:00;24.9;93;0.2;0;0;;
04/01/2020;19:00;25.2;93;0.2;0;0;;
04/01/2020;20:00;25.4;92;0.2;0;0;;
04/01/2020;21:00;25.1;94;0.2;0;0;;
04/01/2020;22:00;24.9;94;0.3;0;0;;
04/01/2020;23:00;24.8;94;0.2;0;0;;
05/01/2020;00:00;24.9;93;0;0;0;;
05/01/2020;01:00;24.5;94;0;0;0;;
05/01/2020;02:00;24.5;94;0.2;0;0;;
05/01/2020;03:00;24.5;93;0.3;0;0;;
05/01/2020;04:00;24.4;93;0.1;0;0;;
05/01/2020;05:00;24.3;93;0.1;0;0;;
05/01/2020;06:00;24.3;94;0.5;13.7;0;;
05/01/2020;07:00;25.3;93;1;81.9;0;;
05/01/2020;08:00;26.3;88;0.2;273.4;2818.69;;
05/01/2020;09:00;27.6;83;0.2;602.4;3600;;
05/01/2020;10:00;28.3;79;0.3;533.3;3600;;
05/01/2020;11:00;26.4;85;4.1;446.3;2091.3;;
05/01/2020;12:00;26.6;87;0.9;412.8;1567.06;;
05/01/2020;13:00;27.2;86;0.8;378;1691.67;;
05/01/2020;14:00;26.3;88;7;241.6;0;;
05/01/2020;15:00;25.5;93;0.9;68.3;0;;
05/01/2020;16:00;26;90;0.3;127.9;0;;
05/01/2020;17:00;26;89;0.1;101.9;320.2;;
05/01/2020;18:00;25.3;92;0.2;0;0;;
05/01/2020;19:00;24.7;94;0.3;0;0;;
05/01/2020;20:00;24.4;96;0.1;0;0;;
05/01/2020;21:00;24.4;96;0.3;0;0;;
05/01/2020;22:00;23.8;97;1.4;0;0;;
05/01/2020;23:00;23.3;98;1.3;0;0;;
06/01/2020;00:00;23.5;97;0.2;0;0;;
06/01/2020;01:00;23.3;96;0.1;0;0;;
06/01/2020;02:00;23.6;94;0.4;0;0;;
06/01/2020;03:00;23.4;94;0.4;0;0;;
06/01/2020;04:00;23.5;93;0.7;0;0;;
06/01/2020;05:00;23.6;91;0.2;0;0;;
06/01/2020;06:00;23.7;90;0;25.1;0;;
06/01/2020;07:00;25.5;86;2;143.5;2293.03;;
06/01/2020;08:00;26.8;81;0;394;3600;;
06/01/2020;09:00;28.3;77;0;680.8;3600;;
06/01/2020;10:00;29.2;74;0;763.7;3600;;
06/01/2020;11:00;30;68;0;882.5;3600;;
06/01/2020;12:00;30;68;0;804.7;3600;;
06/01/2020;13:00;29.5;70;0.1;768.7;3600;;
06/01/2020;14:00;27.1;80;2.8;383.5;3140.27;;
06/01/2020;15:00;27;85;0.3;264.3;0;;
06/01/2020;16:00;26.3;88;0.3;147.6;0;;
06/01/2020;17:00;25.7;89;0.9;68.3;0;;
06/01/2020;18:00;24.7;94;1.3;0;131.12;;
06/01/2020;19:00;24.7;94;0.1;0;0;;
06/01/2020;20:00;24.5;96;0.1;0;0;;
06/01/2020;21:00;24.3;97;0.1;0;0;;
06/01/2020;22:00;24.2;97;0.4;0;0;;
06/01/2020;23:00;24.1;96;0.3;0;0;;
07/01/2020;00:00;23.9;94;0.2;0;0;;
07/01/2020;01:00;23.9;93;0.2;0;0;;
07/01/2020;02:00;23.9;93;0.2;0;0;;
07/01/2020;03:00;23.8;94;0.2;0;0;;
07/01/2020;04:00;23.7;95;0.2;0;0;;
07/01/2020;05:00;23.5;96;0.2;0;0;;
07/01/2020;06:00;23.9;94;0.2;11.5;0;;
07/01/2020;07:00;24;93;0.7;101.9;0;;
07/01/2020;08:00;24;94;13;49.1;0;;
07/01/2020;09:00;23.9;94;7.1;15.8;0;;
07/01/2020;10:00;25.6;88;0.9;304.5;0;;
07/01/2020;11:00;26.4;84;0.1;304.6;0;;
07/01/2020;12:00;27.3;81;0.2;453.1;1096.98;;
07/01/2020;13:00;27.4;82;0.2;419.8;417.91;;
07/01/2020;14:00;26.5;86;0.2;311.8;0;;
07/01/2020;15:00;26.1;88;1.3;180.1;0;;
07/01/2020;16:00;25.6;88;2.2;149.3;0;;
07/01/2020;17:00;25.1;94;0.5;55.8;0;;
07/01/2020;18:00;24.9;93;0.1;0;0;;
07/01/2020;19:00;24.2;96;0;0;0;;
07/01/2020;20:00;24.3;97;0.1;0;0;;
07/01/2020;21:00;24;96;0.1;0;0;;
07/01/2020;22:00;24;95;0;0;0;;
07/01/2020;23:00;23.6;96;0;0;0;;
08/01/2020;00:00;23.5;95;0.1;0;0;;
08/01/2020;01:00;23.4;94;0;0;0;;
08/01/2020;02:00;23.1;95;0.1;0;0;;
08/01/2020;03:00;22.9;96;0;0;0;;
08/01/2020;04:00;22.6;96;0;0;0;;
08/01/2020;05:00;23.1;96;0.2;0;0;;
08/01/2020;06:00;23.3;96;0.2;11.5;0;;
08/01/2020;07:00;24.5;92;0;147.4;2229.29;;
08/01/2020;08:00;25.1;88;0.1;268.1;1879.54;;
