latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.768014,110.39183,110.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),cloud_cover (%),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2001-10-01T00:00,24.2,0.00,79,1,3600.00,158.0,85.0,73.0,314.8,368.5,230.0,123.7,106.3,314.8,536.3
2001-10-01T01:00,25.7,0.30,40,1,3600.00,373.0,246.0,127.0,485.0,692.3,452.8,298.6,154.2,485.0,840.3
2001-10-01T02:00,26.9,0.30,37,1,3600.00,536.0,391.0,145.0,550.4,969.6,601.3,438.7,162.7,550.4,1087.8
2001-10-01T03:00,27.5,0.00,98,1,3600.00,629.0,442.0,187.0,510.6,1181.5,671.7,472.0,199.7,510.6,1261.7
2001-10-01T04:00,28.3,0.00,42,1,3600.00,752.0,542.0,210.0,563.2,1313.5,773.1,557.2,215.9,563.2,1350.4
2001-10-01T05:00,28.3,0.30,43,1,3600.00,695.0,450.0,245.0,452.7,1356.7,690.3,447.0,243.4,452.7,1347.6
2001-10-01T06:00,28.6,0.00,66,1,3600.00,699.0,424.0,275.0,442.4,1308.1,669.9,406.4,263.6,442.4,1253.7
2001-10-01T07:00,27.9,0.10,100,1,3600.00,743.0,583.0,160.0,679.6,1171.0,682.1,535.2,146.9,679.6,1075.1
2001-10-01T08:00,27.6,0.10,75,1,3600.00,477.0,354.0,123.0,506.1,954.8,411.5,305.4,106.1,506.1,823.8
2001-10-01T09:00,26.8,3.30,85,1,3600.00,280.0,163.0,117.0,330.0,674.2,214.7,125.0,89.7,330.0,517.1
2001-10-01T10:00,25.7,0.70,87,1,3600.00,107.0,52.0,55.0,203.8,348.4,54.0,26.2,27.8,203.8,175.8
2001-10-01T11:00,25.3,0.00,93,0,0.00,9.0,1.0,8.0,9.9,78.1,0.0,0.0,0.0,0.0,0.0
2001-10-01T12:00,24.9,0.00,100,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T13:00,24.5,0.00,100,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T14:00,24.4,0.00,100,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
