Time;Temp;Rain;cloud;soil_0_7;soil_7_28;soil_28_100;I0
2022-10-01T00:00;23.8;0.1;100;24.7;26.3;26.3;0
2022-10-01T01:00;24;0.2;100;24.6;26.2;26.3;0
2022-10-01T02:00;24;0.2;100;24.6;26;26.2;0
2022-10-01T03:00;24.1;0.2;100;24.6;25.9;26.2;0
2022-10-01T04:00;24.3;0.8;100;24.6;25.8;26.2;0
2022-10-01T05:00;24.3;0.4;100;24.6;25.7;26.2;0
2022-10-01T06:00;24.4;0.3;100;24.6;25.6;26.2;6.7
2022-10-01T07:00;25.3;0.2;55;24.5;25.5;26.2;58.2
2022-10-01T08:00;26.3;0.1;99;26;25.5;26.2;437
2022-10-01T09:00;27.2;0;100;27.1;25.6;26.2;485.8
2022-10-01T10:00;28.4;0.1;57;28.3;25.8;26.2;634.3
2022-10-01T11:00;29.3;0.1;96;29.2;26.1;26.2;717.6
2022-10-01T12:00;25.6;7.2;100;28.6;26.3;26.2;438
2022-10-01T13:00;26.1;2.1;100;27.4;26.4;26.2;196.5
2022-10-01T14:00;26.1;2.3;100;27.1;26.5;26.2;232.3
2022-10-01T15:00;25.6;5;100;27.1;26.6;26.2;230.4
2022-10-01T16:00;25.4;1.1;86;26.4;26.6;26.2;64.4
2022-10-01T17:00;25.5;0.1;100;26.1;26.5;26.2;37.3
2022-10-01T18:00;25;0.8;80;25.7;26.5;26.2;0
2022-10-01T19:00;25.9;0;96;27.4;26.7;26.2;0
2022-10-01T20:00;25.3;0;57;26.6;26.7;26.2;0
2022-10-01T21:00;24.3;0.1;93;25.7;26.6;26.2;0
2022-10-01T22:00;24.4;0;78;25.3;26.5;26.2;0
2022-10-01T23:00;25.1;0;87;25.1;26.4;26.2;0
2022-10-02T00:00;24.1;0;80;25;26.3;26.2;0
2022-10-02T01:00;23.3;0;39;24.6;26.1;26.2;0
2022-10-02T02:00;23.1;0;44;24.3;26;26.2;0
2022-10-02T03:00;22.8;0;78;24;25.8;26.2;0
2022-10-02T04:00;22.5;0;92;23.8;25.7;26.2;0
2022-10-02T05:00;22.8;0;68;23.7;25.5;26.2;0
2022-10-02T06:00;23.4;0;80;23.8;25.4;26.2;31
2022-10-02T07:00;25;0;41;24.7;25.3;26.2;198.9
2022-10-02T08:00;26.1;0.1;100;25.9;25.3;26.2;391.7
2022-10-02T09:00;27.6;0.1;97;27.2;25.4;26.2;595.4
2022-10-02T10:00;27.8;0.1;98;27.6;25.6;26.2;420.6
2022-10-02T11:00;28.5;0.2;99;28.4;25.8;26.2;600.2
2022-10-02T12:00;27.2;1;99;28.8;26.1;26.2;576
2022-10-02T13:00;27.3;1.1;53;28.3;26.3;26.2;414.9
2022-10-02T14:00;28;0.4;19;28.8;26.5;26.2;583.8
2022-10-02T15:00;27;5.3;77;28.5;26.7;26.2;439
2022-10-02T16:00;25.3;7.7;100;27;26.7;26.2;98.1
2022-10-02T17:00;24.8;0.3;94;26.1;26.7;26.2;18.1
2022-10-02T18:00;24.4;0.4;100;25.5;26.6;26.2;0
2022-10-02T19:00;23.7;0.1;100;25.7;26.6;26.2;0
2022-10-02T20:00;23.4;2.3;100;24.9;26.4;26.2;0
2022-10-02T21:00;22.9;0.5;100;24.4;26.3;26.2;0
2022-10-02T22:00;22.9;0.7;100;24.1;26.1;26.2;0
2022-10-02T23:00;22.8;0.5;100;23.8;25.9;26.2;0
2022-10-03T00:00;22.9;0.4;100;23.7;25.7;26.2;0
2022-10-03T01:00;22.7;1.2;100;23.6;25.5;26.2;0
2022-10-03T02:00;22.8;2.8;100;23.6;25.4;26.2;0
2022-10-03T03:00;22.8;0.4;75;23.5;25.2;26.2;0
2022-10-03T04:00;22.9;0.1;97;23.4;25.1;26.2;0
