latitude;;longitude;elevation;utc_offset_seconds;timezone;timezone_abbreviation
-7.768014;;110.39183;110;25200;Asia/Bangkok;7
;;;;;;
time;;shortwave_radiation (W/m²);;;;
01/10/2022;00:00;0;;;;
01/10/2022;01:00;0;;;;
01/10/2022;02:00;0;;;;
01/10/2022;03:00;0;;;;
01/10/2022;04:00;0;;;;
01/10/2022;05:00;0;;;;
01/10/2022;06:00;3;;;;
01/10/2022;07:00;40;;;;
01/10/2022;08:00;360;;;;
01/10/2022;09:00;433;;;;
01/10/2022;10:00;594;;;;
01/10/2022;11:00;698;;;;
01/10/2022;12:00;441;;;;
01/10/2022;13:00;205;;;;
01/10/2022;14:00;253;;;;
01/10/2022;15:00;267;;;;
01/10/2022;16:00;84;;;;
01/10/2022;17:00;74;;;;
01/10/2022;18:00;7;;;;
01/10/2022;19:00;0;;;;
01/10/2022;20:00;0;;;;
01/10/2022;21:00;0;;;;
01/10/2022;22:00;0;;;;
01/10/2022;23:00;0;;;;
02/10/2022;00:00;0;;;;
02/10/2022;01:00;0;;;;
02/10/2022;02:00;0;;;;
02/10/2022;03:00;0;;;;
02/10/2022;04:00;0;;;;
02/10/2022;05:00;0;;;;
02/10/2022;06:00;14;;;;
02/10/2022;07:00;137;;;;
02/10/2022;08:00;323;;;;
02/10/2022;09:00;531;;;;
02/10/2022;10:00;394;;;;
02/10/2022;11:00;584;;;;
02/10/2022;12:00;580;;;;
02/10/2022;13:00;433;;;;
02/10/2022;14:00;636;;;;
02/10/2022;15:00;509;;;;
02/10/2022;16:00;128;;;;
02/10/2022;17:00;36;;;;
02/10/2022;18:00;5;;;;
02/10/2022;19:00;0;;;;
02/10/2022;20:00;0;;;;
02/10/2022;21:00;0;;;;
02/10/2022;22:00;0;;;;
02/10/2022;23:00;0;;;;
03/10/2022;00:00;0;;;;
03/10/2022;01:00;0;;;;
03/10/2022;02:00;0;;;;
03/10/2022;03:00;0;;;;
03/10/2022;04:00;0;;;;
03/10/2022;05:00;0;;;;
03/10/2022;06:00;11;;;;
03/10/2022;07:00;171;;;;
03/10/2022;08:00;327;;;;
03/10/2022;09:00;527;;;;
03/10/2022;10:00;245;;;;
03/10/2022;11:00;320;;;;
03/10/2022;12:00;834;;;;
03/10/2022;13:00;393;;;;
03/10/2022;14:00;395;;;;
03/10/2022;15:00;457;;;;
03/10/2022;16:00;272;;;;
03/10/2022;17:00;89;;;;
03/10/2022;18:00;5;;;;
03/10/2022;19:00;0;;;;
03/10/2022;20:00;0;;;;
03/10/2022;21:00;0;;;;
03/10/2022;22:00;0;;;;
03/10/2022;23:00;0;;;;
04/10/2022;00:00;0;;;;
04/10/2022;01:00;0;;;;
04/10/2022;02:00;0;;;;
04/10/2022;03:00;0;;;;
04/10/2022;04:00;0;;;;
04/10/2022;05:00;0;;;;
04/10/2022;06:00;16;;;;
04/10/2022;07:00;109;;;;
04/10/2022;08:00;268;;;;
04/10/2022;09:00;550;;;;
04/10/2022;10:00;427;;;;
04/10/2022;11:00;432;;;;
04/10/2022;12:00;518;;;;
04/10/2022;13:00;708;;;;
04/10/2022;14:00;744;;;;
04/10/2022;15:00;326;;;;
04/10/2022;16:00;280;;;;
04/10/2022;17:00;143;;;;
04/10/2022;18:00;12;;;;
04/10/2022;19:00;0;;;;
04/10/2022;20:00;0;;;;
04/10/2022;21:00;0;;;;
04/10/2022;22:00;0;;;;
04/10/2022;23:00;0;;;;
05/10/2022;00:00;0;;;;
05/10/2022;01:00;0;;;;
05/10/2022;02:00;0;;;;
05/10/2022;03:00;0;;;;
05/10/2022;04:00;0;;;;
05/10/2022;05:00;0;;;;
05/10/2022;06:00;15;;;;
05/10/2022;07:00;158;;;;
05/10/2022;08:00;389;;;;
05/10/2022;09:00;494;;;;
05/10/2022;10:00;697;;;;
05/10/2022;11:00;635;;;;
05/10/2022;12:00;503;;;;
05/10/2022;13:00;444;;;;
05/10/2022;14:00;432;;;;
05/10/2022;15:00;528;;;;
05/10/2022;16:00;138;;;;
05/10/2022;17:00;76;;;;
05/10/2022;18:00;8;;;;
05/10/2022;19:00;0;;;;
05/10/2022;20:00;0;;;;
05/10/2022;21:00;0;;;;
05/10/2022;22:00;0;;;;
05/10/2022;23:00;0;;;;
06/10/2022;00:00;0;;;;
06/10/2022;01:00;0;;;;
06/10/2022;02:00;0;;;;
06/10/2022;03:00;0;;;;
06/10/2022;04:00;0;;;;
06/10/2022;05:00;0;;;;
06/10/2022;06:00;13;;;;
06/10/2022;07:00;101;;;;
06/10/2022;08:00;303;;;;
06/10/2022;09:00;369;;;;
06/10/2022;10:00;264;;;;
06/10/2022;11:00;353;;;;
06/10/2022;12:00;776;;;;
06/10/2022;13:00;560;;;;
06/10/2022;14:00;547;;;;
06/10/2022;15:00;248;;;;
06/10/2022;16:00;215;;;;
06/10/2022;17:00;91;;;;
06/10/2022;18:00;6;;;;
06/10/2022;19:00;0;;;;
06/10/2022;20:00;0;;;;
06/10/2022;21:00;0;;;;
06/10/2022;22:00;0;;;;
06/10/2022;23:00;0;;;;
07/10/2022;00:00;0;;;;
07/10/2022;01:00;0;;;;
07/10/2022;02:00;0;;;;
07/10/2022;03:00;0;;;;
07/10/2022;04:00;0;;;;
07/10/2022;05:00;0;;;;
07/10/2022;06:00;9;;;;
07/10/2022;07:00;123;;;;
07/10/2022;08:00;388;;;;
07/10/2022;09:00;603;;;;
07/10/2022;10:00;726;;;;
07/10/2022;11:00;878;;;;
07/10/2022;12:00;541;;;;
07/10/2022;13:00;633;;;;
07/10/2022;14:00;182;;;;
07/10/2022;15:00;274;;;;
07/10/2022;16:00;173;;;;
07/10/2022;17:00;63;;;;
07/10/2022;18:00;7;;;;
07/10/2022;19:00;0;;;;
07/10/2022;20:00;0;;;;
07/10/2022;21:00;0;;;;
07/10/2022;22:00;0;;;;
07/10/2022;23:00;0;;;;
08/10/2022;00:00;0;;;;
08/10/2022;01:00;0;;;;
08/10/2022;02:00;0;;;;
08/10/2022;03:00;0;;;;
08/10/2022;04:00;0;;;;
08/10/2022;05:00;0;;;;
08/10/2022;06:00;6;;;;
08/10/2022;07:00;55;;;;
08/10/2022;08:00;171;;;;
08/10/2022;09:00;167;;;;
08/10/2022;10:00;548;;;;
08/10/2022;11:00;538;;;;
08/10/2022;12:00;328;;;;
08/10/2022;13:00;308;;;;
08/10/2022;14:00;178;;;;
08/10/2022;15:00;142;;;;
08/10/2022;16:00;89;;;;
08/10/2022;17:00;43;;;;
08/10/2022;18:00;8;;;;
08/10/2022;19:00;0;;;;
08/10/2022;20:00;0;;;;
08/10/2022;21:00;0;;;;
08/10/2022;22:00;0;;;;
08/10/2022;23:00;0;;;;
09/10/2022;00:00;0;;;;
09/10/2022;01:00;0;;;;
09/10/2022;02:00;0;;;;
09/10/2022;03:00;0;;;;
09/10/2022;04:00;0;;;;
09/10/2022;05:00;0;;;;
09/10/2022;06:00;19;;;;
09/10/2022;07:00;124;;;;
09/10/2022;08:00;206;;;;
09/10/2022;09:00;362;;;;
09/10/2022;10:00;659;;;;
09/10/2022;11:00;712;;;;
09/10/2022;12:00;652;;;;
09/10/2022;13:00;545;;;;
09/10/2022;14:00;257;;;;
09/10/2022;15:00;355;;;;
09/10/2022;16:00;172;;;;
09/10/2022;17:00;80;;;;
09/10/2022;18:00;5;;;;
09/10/2022;19:00;0;;;;
09/10/2022;20:00;0;;;;
09/10/2022;21:00;0;;;;
09/10/2022;22:00;0;;;;
09/10/2022;23:00;0;;;;
10/10/2022;00:00;0;;;;
10/10/2022;01:00;0;;;;
10/10/2022;02:00;0;;;;
10/10/2022;03:00;0;;;;
10/10/2022;04:00;0;;;;
10/10/2022;05:00;0;;;;
10/10/2022;06:00;11;;;;
10/10/2022;07:00;79;;;;
10/10/2022;08:00;326;;;;
10/10/2022;09:00;265;;;;
10/10/2022;10:00;464;;;;
10/10/2022;11:00;538;;;;
10/10/2022;12:00;818;;;;
10/10/2022;13:00;390;;;;
10/10/2022;14:00;197;;;;
10/10/2022;15:00;91;;;;
10/10/2022;16:00;153;;;;
10/10/2022;17:00;53;;;;
10/10/2022;18:00;6;;;;
10/10/2022;19:00;0;;;;
10/10/2022;20:00;0;;;;
10/10/2022;21:00;0;;;;
10/10/2022;22:00;0;;;;
10/10/2022;23:00;0;;;;
11/10/2022;00:00;0;;;;
11/10/2022;01:00;0;;;;
11/10/2022;02:00;0;;;;
11/10/2022;03:00;0;;;;
11/10/2022;04:00;0;;;;
11/10/2022;05:00;0;;;;
11/10/2022;06:00;9;;;;
11/10/2022;07:00;75;;;;
11/10/2022;08:00;329;;;;
11/10/2022;09:00;532;;;;
11/10/2022;10:00;418;;;;
11/10/2022;11:00;313;;;;
11/10/2022;12:00;585;;;;
11/10/2022;13:00;568;;;;
11/10/2022;14:00;333;;;;
11/10/2022;15:00;306;;;;
11/10/2022;16:00;195;;;;
11/10/2022;17:00;118;;;;
11/10/2022;18:00;13;;;;
11/10/2022;19:00;0;;;;
11/10/2022;20:00;0;;;;
11/10/2022;21:00;0;;;;
11/10/2022;22:00;0;;;;
11/10/2022;23:00;0;;;;
12/10/2022;00:00;0;;;;
12/10/2022;01:00;0;;;;
12/10/2022;02:00;0;;;;
12/10/2022;03:00;0;;;;
12/10/2022;04:00;0;;;;
12/10/2022;05:00;0;;;;
12/10/2022;06:00;12;;;;
12/10/2022;07:00;82;;;;
12/10/2022;08:00;202;;;;
12/10/2022;09:00;385;;;;
12/10/2022;10:00;452;;;;
12/10/2022;11:00;386;;;;
12/10/2022;12:00;777;;;;
12/10/2022;13:00;483;;;;
12/10/2022;14:00;553;;;;
12/10/2022;15:00;285;;;;
12/10/2022;16:00;211;;;;
12/10/2022;17:00;94;;;;
12/10/2022;18:00;8;;;;
12/10/2022;19:00;0;;;;
12/10/2022;20:00;0;;;;
12/10/2022;21:00;0;;;;
12/10/2022;22:00;0;;;;
12/10/2022;23:00;0;;;;
13/10/2022;00:00;0;;;;
13/10/2022;01:00;0;;;;
13/10/2022;02:00;0;;;;
