;temperature_max (°C);temperature_2m_min (°C);temperature_2m_mean (°C);rain_sum (mm);shortwave_radiation_sum (MJ/m²)
Time;Tmax;Tmin;Tavg;Rain;I0
20221001;29.3;23.8;25.4;21.4;12.45
20221002;28.5;22.5;24.8;20.8;15.52
20221003;28.2;22.7;24.9;14.7;14.57
20221004;29.4;23;25.4;2.9;16.32
20221005;29;22.3;25.2;1.8;16.26
20221006;27.8;23.3;25;6.4;13.85
20221007;29.5;22.9;25.1;17.4;16.56
20221008;27.5;22.5;24.2;19.5;9.29
20221009;29.3;22.7;25;8;14.93
20221010;28.9;22.1;24.2;16.3;12.21
20221011;27.9;22.8;24.8;12.9;13.66
20221012;28;22.2;24.5;8.3;14.15
20221013;28.4;22.2;24.7;8.8;15.69
20221014;28.5;23.1;25.6;2.9;19.26
20221015;28.7;23.2;25.8;3;16.41
20221016;29.2;22.7;25.6;3.1;19.09
20221017;27.6;23.5;25.1;9;12.21
20221018;27.9;22.5;24.8;2.9;12.92
20221019;26.4;22.5;24.3;19.9;9.85
20221020;29.1;23.2;24.9;46.6;13.51
20221021;28.5;22.7;24.4;49.6;14.17
20221022;29.9;22.5;25.6;1.1;18.36
20221023;28.7;22.3;24.9;14.1;16.53
20221024;27.2;22.2;24;11.8;12.31
20221025;28.4;22.3;24.2;17.7;13.91
20221026;26.2;22.3;23.7;56.1;6.3
20221027;28.1;22.1;24.3;3.1;19.99
20221028;28.2;20.4;24.2;0;22.13
20221029;27.3;20.1;24.2;0.8;20.15
20221030;27.5;22.6;24.7;2.1;17.99
20221031;29.1;20.7;24.8;0.9;21.87
20221101;27.5;22.8;24.5;10.5;13.31
20221102;28.4;21.6;25;23.3;15.07
20221103;29.6;23;25.3;25.1;14.87
20221104;28.1;22.7;25.2;15.4;13.83
20221105;29.1;22.4;24.9;11.6;15.29
20221106;29;22.3;24.5;27.8;14.76
20221107;28.9;21.8;24.5;28.5;13.78
20221108;29.6;22.4;24.8;29.6;16.57
20221109;28.6;21.9;24.7;10.9;13.87
20221110;29.7;22.6;25;10.3;17.52
20221111;28.3;22.6;24.7;11.8;16.08
20221112;28.5;22.6;24.9;14.7;14.6
20221113;27.5;22.5;24.7;17.3;11.91
20221114;29.1;23.1;25;22.5;13.14
20221115;29.1;22.6;25.1;26.9;15.79
20221116;28.3;22.4;24.9;23;13.19
20221117;30.6;22.9;25.2;18.1;17.41
20221118;30;22.4;25.7;10.7;17.84
20221119;28.7;22.8;25;22.5;12.64
20221120;28.3;21.3;24.7;4;15.79
20221121;28.4;21.9;25.1;4;19.01
20221122;28.7;21.6;25;4.5;18.67
20221123;29.5;22.9;25.7;3.1;17.95
20221124;28.5;23.1;25;19.2;13.91
20221125;29.9;22.3;24.5;50.7;15.24
20221126;27;22.3;23.9;16.1;11.1
20221127;27.6;21.8;24.5;12.3;13.79
20221128;27.4;22.7;24.4;8.9;13.54
20221129;27.5;22.2;24.4;12.5;12.04
20221130;27;22.4;24.5;9.8;11.73
20221201;28.3;22.2;25.2;1.6;20.37
20221202;29.5;21.9;25.6;1.9;21.57
20221203;28.4;22.8;25.6;3;18.62
20221204;29.1;22.4;25;6.1;16.2
20221205;29;23;24.7;38;12.37
20221206;29.3;22.1;24.5;26.1;14.29
20221207;29.3;23;25.2;13.5;18.14
20221208;29.5;22;25;18;19.29
20221209;30.1;21.4;25;4.1;19.77
20221210;29.4;22.4;25.4;3.1;24.34
20221211;28.7;22.1;24.5;14.7;15.38
20221212;28.8;21.4;25.1;5.2;19.7
20221213;29.3;22.4;25.2;3.2;20.7
20221214;27.9;22.4;24.7;13.7;15.83
20221215;28.3;22.5;24.9;10.1;16.2
20221216;27.7;22.5;24.5;5.7;13.83
20221217;30.2;21.2;25.6;1.3;25.25
20221218;29.9;21.6;25.7;0.9;24.32
20221219;29.9;22.3;26;5;22.65
20221220;30.2;22.9;25.5;3.7;21.84
20221221;30.3;21.8;26;0.7;21.92
20221222;28.9;22.6;24.9;41.5;15.88
20221223;27.7;22.4;24.6;18;13.49
20221224;28.8;21.8;24.7;5.6;16.07
20221225;25.5;22.4;24;24.4;7.41
20221226;27.7;21.2;23.7;28.4;12.25
20221227;27.8;21.7;24.6;4;17.5
20221228;28.8;22.4;24.6;18.3;17.65
20221229;28.8;22.2;24.6;27.8;15.28
20221230;28.4;22.3;25.2;1.5;15.5
20221231;28.2;21.7;24.3;10.8;15.57
20230101;28.6;21.7;24.6;9.6;12.99
20230102;29.2;21.8;24.9;4;20.93
20230103;28.5;22.8;25.1;2.5;20.99
20230104;28;21.9;24.5;13.8;18.48
20230105;27.6;22.6;24.6;5.3;17.95
20230106;28.1;23.2;24.9;6.3;17.67
20230107;28.6;21.1;24.9;3.3;21.87
20230108;28.9;22.2;25.4;2.3;23.6
20230109;29.2;21.9;24.9;5.7;20.64
20230110;29.4;21.8;24.9;8.1;19.71
20230111;28.9;22.1;25.4;0.9;22.1
20230112;29.1;22;25.7;2.2;21.96
20230113;29.5;22.9;25.9;1.4;23.57
20230114;29.3;22.4;25.5;3.7;22.09
20230115;29.8;23;25.7;1;19.63
20230116;29.5;22.6;25.3;13.7;17.24
20230117;28.4;22.2;24.7;14.6;15.61
20230118;28.1;22.3;24.9;1.7;16.36
20230119;28.1;21.8;24.8;3.1;18.48
20230120;28.6;22.1;24.6;10.1;17.34
20230121;27.9;22.2;25;1.9;17.9
20230122;28.6;21.9;24.9;7.1;18.67
20230123;29.8;22.8;25.8;0.5;24.05
20230124;29.5;21.4;25.6;1.2;22.65
20230125;29.1;22.4;25.1;7;19.66
20230126;27.1;22.5;24.4;16.2;14.21
20230127;28.8;22.5;24.9;20.1;14.24
20230128;29;22.7;24.7;23.2;12.6
20230129;29.6;22.1;25.1;14.4;20.03
20230130;29;22.7;25.2;2.9;13.65
20230131;27.9;23;24.9;7.5;13.83
20230201;29.2;23.2;25.2;22.3;16.75
20230202;28.9;23.2;25.2;9.2;11.29
20230203;28.3;22.3;24.9;12.3;9.45
20230204;29.3;22.8;25.7;11.1;16.62
20230205;29.7;23.3;25.9;11.4;21.41
20230206;27.8;23.5;25.7;0.9;12.99
20230207;29.3;22;24.8;26.9;14.93
20230208;27.7;22.9;24.7;21.3;12.49
20230209;28.9;22.6;24.9;27.1;15.77
20230210;29.5;23;25.1;20.9;16.6
20230211;29.8;22.5;25;12.2;15.32
20230212;28.8;22;24.7;11.5;14.4
20230213;28.6;22.6;24.4;24.9;16.81
20230214;28.2;22.1;24.3;17.5;17.36
20230215;25.8;22.4;23.6;24.1;8.72
20230216;27.7;22.5;24.3;39.6;13.42
20230217;27.9;23.1;24.5;20.3;10.53
20230218;29.1;21.8;25;1.4;18.61
20230219;28.4;21.3;24.7;7.9;22.37
20230220;29.3;22;24.6;15.9;19.22
20230221;29.2;21.7;24.9;18.8;18.22
20230222;29.2;22.5;25;12.7;16.85
20230223;29.1;21.7;24.8;15.5;16.26
20230224;28.6;22.5;24.8;8.7;12.87
20230225;29;22.7;25;8;12.99
20230226;29.6;22.6;25.1;9.6;15.57
20230227;28.4;22;24.6;14.6;13.01
20230228;29.2;22.3;24.5;33;15.2
20230301;26.7;21.5;23.9;29.5;12.36
20230302;27.7;21.8;23.9;52.6;11.11
20230303;29.1;21.7;25.3;0.6;23.52
20230304;29.5;21.7;24.8;8.1;18.71
20230305;28.3;21.9;24.5;5.7;16.48
20230306;29;22.2;25.4;3.7;22.49
20230307;29.4;21.8;25.3;1.7;24.02
20230308;28.7;22;25.1;1.9;20.87
20230309;29.6;22.8;25.3;4.2;19.73
20230310;30.1;22.4;26.2;5;23.57
20230311;29.9;22.6;26.1;1.6;19.2
20230312;30.4;22.1;26;0;24.99
20230313;30;22.3;25.8;0.4;24.84
20230314;29.7;21.9;25.5;1.8;23.86
20230315;31.3;21.9;25.9;5.5;22.37
20230316;30.8;23.1;25.9;10.9;21.03
20230317;29.6;22.5;25.2;19.7;16.5
20230318;30;22;25.7;2.9;18.86
20230319;30.5;22.9;25.8;13.3;19.26
20230320;29;22.5;24.9;26.6;14.24
20230321;31.8;22.1;26.1;8.4;23.12
20230322;30.2;22.5;25.1;32.9;17.88
20230323;31;23.3;26.4;0.4;20.24
20230324;30.2;23.6;26.4;4.8;17.96
20230325;28.9;23.6;25.2;16.5;18.82
20230326;29.4;22.3;25.2;9.3;18.29
20230327;29;22.3;25;12.5;15.07
20230328;30.1;23.5;25.7;11.3;16.97
20230329;30.6;22.7;25.6;10;20.45
20230330;31.4;22.7;25.4;16.3;19.04
20230331;29;22.7;25.3;3.7;13.08
20230401;27.9;22.7;24.3;34;12.85
20230402;29.2;22.1;24.8;4.9;18.51
20230403;29.8;23;25.1;12.1;16.9
20230404;28.5;22.5;25;1.7;18.6
20230405;29.9;21.2;25.1;2.3;23.14
20230406;29;21.7;25.1;3;19.37
20230407;29.4;22.4;25.9;0;20.13
20230408;28.8;22.8;25.3;4;20.6
20230409;30.3;21.4;25.7;0.9;23.73
20230410;28.9;22.8;24.8;11.2;16.4
20230411;29.1;22.6;25.6;3.1;21.1
20230412;28.9;22.7;25.1;11.5;17.03
20230413;28.2;22.9;24.9;9.8;13.22
20230414;27.8;22.5;25.3;3.2;14.28
20230415;29.3;22.7;25.8;1.5;18.98
20230416;30.4;22.5;26;1;20.87
20230417;30.4;23.2;26.3;1.9;20.99
20230418;30.2;23.2;25.8;10.2;18.32
20230419;31.6;23.2;27.2;0.9;22.62
20230420;30.9;22.9;26.3;5.2;17.82
20230421;31.5;22;26.4;0.8;20.98
20230422;31.8;22.9;25.8;27.7;18.63
20230423;31.2;22.6;26.4;9.2;20.24
20230424;30.6;23.8;26.3;12;18.84
20230425;30.5;22.5;25.8;5.3;18.9
20230426;30.5;23.5;26.1;3.3;19.81
20230427;30.3;22.2;25.8;10.2;17.07
20230428;29.8;23.2;25.9;20.4;16.15
20230429;29.2;23.1;25.4;24;13.1
20230430;31.2;23;26.3;1;21.08
20230501;30.3;23;25.7;11.1;15.62
20230502;30.9;23;26;6.5;16.96
20230503;30.4;23.6;26;9.7;16.65
20230504;30.5;23.6;26;18;15.78
20230505;30.1;23.5;25.8;21.3;16.53
20230506;27.8;23.4;25.4;7.3;10.89
20230507;30.4;23.2;25.9;10.8;14.19
20230508;31.8;24.1;27;0.2;21.12
20230509;30.5;23.4;26.4;2.3;17.49
20230510;31.6;23.7;26.8;1.3;18.48
20230511;31.9;23.4;26.6;13.9;17.76
20230512;32.2;23;27;4.5;19.43
20230513;29.5;22.3;26.1;0.5;17.68
20230514;29.3;21.9;25.2;0.2;18.12
20230515;28.8;21.4;25;0.1;14.86
20230516;29.6;20.9;25;0;18.48
20230517;30;20.6;25.2;0;18.08
20230518;29.2;20.9;25;0.2;19.76
20230519;30.8;22.1;25.9;0.6;20.26
20230520;31.4;21.2;26.2;0.1;20.8
20230521;31.6;21;25.9;0;21.47
20230522;31.2;21.4;25.6;0.7;20.43
20230523;31.2;20.3;25.4;0.1;20.33
20230524;31.1;20.9;25.6;0;20.58
20230525;31.7;21.2;25.9;0;19.27
20230526;32.7;20.7;26.3;0;20.78
20230527;32.3;21.9;26.4;0;20.07
20230528;31.9;21.5;25.9;0;19.79
20230529;31.1;21.1;25.9;0;15.6
20230530;32.1;20.4;26;0;18.41
20230531;30.7;21.7;26;0.8;17.75
20230601;33;21.6;26.7;0.5;19.11
20230602;32.5;23;27.1;0.3;19
20230603;31.9;21.8;26.7;1.4;17.72
20230604;31;22.3;26.2;2.4;17.58
20230605;30.7;22.1;25.9;2;17.09
20230606;29.4;23;25.7;4.3;12.33
20230607;30.5;23.4;25.9;6.5;12.61
20230608;31.2;22.6;25.8;7.3;18.11
20230609;30.9;22.2;26.1;0.2;18.28
20230610;31.2;21.8;25.8;0.1;17.4
20230611;31.2;20.7;25.4;1.6;18.46
20230612;32.6;22.3;26.1;11.3;18.36
20230613;32.5;22.8;26.9;0;19.58
20230614;31.6;23.7;26.7;0;16.59
20230615;32.1;22.6;26.3;0;17.19
20230616;31.4;21.3;25.3;1.1;16.54
20230617;32.5;21.2;25.8;0.3;17.66
20230618;31.5;22.3;25.8;3.5;17.52
20230619;31;22.1;26;0.7;19.08
20230620;30.3;21.5;25.5;2.8;17.91
20230621;30.8;22.2;26.1;0.7;18.65
20230622;31.7;21.3;25.8;0;18.85
20230623;29.7;22.9;25.6;2;16.66
20230624;31.5;21.4;25.6;0;20.49
20230625;30.7;21.1;25.2;0;18.25
20230626;29.5;20.4;24.7;1.7;18.46
20230627;28.5;21.5;24.7;2.3;14.24
20230628;29.2;21.9;25.1;4.1;15.5
20230629;29.3;22.7;25.4;3;15.97
20230630;29.3;22;25.3;2;16.95
20230701;28.8;22.1;25.2;1.9;15.43
20230702;28.1;22.1;24.8;2;12.9
20230703;28.3;21.5;24.7;1.2;16.02
20230704;28.1;20.8;24.7;1;14.16
20230705;28.7;21.7;25.4;2.5;14.7
20230706;29;22.8;25.3;10.3;12.5
20230707;28.1;22.7;24.4;19.4;10.72
20230708;29.9;22.1;24.9;12.1;12.22
20230709;30;22.7;25.6;2.1;17.96
20230710;30.6;21.4;25.6;0.4;19.76
20230711;31.1;20.7;25;0;20.46
20230712;29.5;20;24.6;0.3;17.09
20230713;28.6;21.4;24.7;2.2;16.66
20230714;27.6;21.8;24.5;2.4;12.5
20230715;29.6;21.3;24.9;1.6;15.66
20230716;28.1;20.9;24.1;2.6;17.06
20230717;29.4;19.4;23.9;0.2;17.98
20230718;30.4;18.7;24.3;0;20.42
20230719;29.3;20.4;24.2;0;20.09
20230720;29.1;19.2;23.6;0.2;15.83
20230721;28.8;20.4;24.1;1.4;15.39
20230722;30.6;20;24.5;0;18.17
20230723;30.9;20.7;25.4;0;19.16
20230724;30.2;19.7;24.3;0;19.44
20230725;31.1;20.6;24.5;0;21.17
20230726;30.6;20.3;24.5;0;21.18
20230727;29.2;17.6;23;0;20.89
20230728;30.1;18.3;23.6;0;21.59
20230729;30;19.1;23.8;0;21.57
20230730;30.2;18.1;23.8;0;20.13
20230731;31.7;18.5;24.2;0;21.51
20230801;32.2;19.2;24.9;0;20.78
20230802;31.4;20.5;25.3;0.7;19.82
20230803;31.2;20.9;25.2;0.1;18.11
20230804;29.9;20.4;24.8;0.9;14.4
20230805;32.1;19.9;25.1;0;19.52
20230806;30.7;21.7;25.3;2;19.61
20230807;31;20.6;25.1;0.2;19.04
20230808;32.4;19.1;25;0;22.5
20230809;31.8;18.8;24.6;0;23.14
20230810;31.1;18.7;23.8;0;23.22
20230811;30.3;17.3;23.6;0;22.24
20230812;31;18.2;23.9;0;20.85
20230813;31.7;20.2;24.6;0;23.06
20230814;32.5;19.2;24.8;0;22.17
20230815;31.5;19.1;24.4;0;19.45
20230816;32.3;20.2;24.9;0;21.64
20230817;29.1;20.2;24;0.5;15.74
20230818;29.2;19.2;23.7;0.6;14.62
20230819;32.3;19;24.6;0;22.03
20230820;31.6;20.7;24.7;0.1;17.49
20230821;32.2;20.7;25.3;0;20.76
20230822;31.6;19.7;24.8;0;19.53
20230823;29.7;20.5;24.7;0;16.5
20230824;33.3;19;24.8;0;22.67
20230825;32.3;20.6;25.7;0;21.11
20230826;31.3;21.2;25.1;0;18.87
20230827;30.8;21.8;25;0.8;19.09
20230828;32.6;19.2;24.9;0;23.81
20230829;33.8;19.3;25.1;0;23.76
20230830;32.9;19.5;24.9;0;23.17
20230831;31.2;19.5;24.5;0.3;19.24
20230901;30.7;20.1;24.3;1.2;23.73
20230902;30.7;19;23.8;0.5;22.99
20230903;31.1;19.2;24;0.9;20.76
20230904;31.9;19.2;24.4;0;23.45
20230905;33.6;18.1;24.1;0;23.71
20230906;31.1;20.6;24.8;0.1;14.34
20230907;31.2;20.3;24.7;0.1;17.67
20230908;33.4;19.9;25.2;0;22.69
20230909;32;18;24;0;25.73
20230910;30;19.1;23.9;0.1;18.08
20230911;32.3;20.8;25.3;0.2;21.07
20230912;32.9;22.1;26.2;0.3;20.82
20230913;31.9;22.4;25.8;0.5;19.23
20230914;30.5;21.6;25.1;3.3;18.83
20230915;32.2;19.9;25.3;0.2;20.6
20230916;32.8;19.9;25.6;0.4;23.68
20230917;31.5;22;25.9;0.8;21.39
20230918;30.6;21.7;25.1;1.2;19.73
20230919;32.1;21.5;25.4;0;22.06
20230920;31.7;20.5;25.4;0;21.4
20230921;32.4;20.5;25.2;0;24.18
20230922;31.3;20.2;24.7;0;24.96
20230923;32.4;20.4;25.1;0;23.38
20230924;32.8;20.6;25.6;0.2;21.67
20230925;32;22.5;26;0.9;23.88
20230926;33.6;20.5;25.7;0.5;24.83
20230927;32.8;21.3;25.9;0.3;23.3
20230928;33.6;22.7;26.5;0.3;24.06
20230929;33.8;22.8;26.7;0.3;24.72
