Time;Tavg;Rain;I0
20011001;23;3.8;19.53
20011002;22.6;3.8;18.04
20011003;22.9;9.6;21.01
20011004;22.7;22.8;16.12
20011005;23.5;3.2;21.54
20011006;22.7;11;13.4
20011007;22.7;8;11.54
20011008;22.7;20.6;18.52
20011009;22.3;22.1;20.48
20011010;22.7;14;19.25
20011011;22.3;14;17.44
20011012;22.4;2.9;19.64
20011013;22.6;7.6;17.64
20011014;22.9;3.7;15.51
20011015;23;12.6;16.22
20011016;23.6;7.2;21.49
20011017;23.3;4;22.4
20011018;23.3;4.2;20.03
20011019;23.8;2.6;21.44
20011020;22.9;4.4;17.64
20011021;22.5;18.1;15.07
20011022;22.6;15.6;14
20011023;23.3;23.8;16.17
20011024;23.6;7.2;18.42
20011025;23.4;16;16
20011026;23.4;10.1;17.82
20011027;23.7;6.1;21.33
20011028;23.8;5.1;21.14
20011029;23.5;4.4;18.91
20011030;23.3;8.9;19.75
20011031;23.5;13.2;21.63
20011101;23.3;14.4;18.35
20011102;23.1;14.7;16.56
20011103;22.8;9.8;16.02
20011104;23.1;1.9;17.46
20011105;23.3;3.7;19.8
20011106;23.4;6.2;21.62
20011107;23;3.4;17.12
20011108;22.9;10.6;17.32
20011109;23.1;4.7;18.75
20011110;23.5;0.7;20.89
20011111;23.7;1.3;22.73
20011112;23;1.6;21.89
20011113;23.4;4.2;22.4
20011114;23.4;13.3;17.48
20011115;23.1;18;11.94
20011116;22.5;16.2;11.31
20011117;22.8;16.8;14.64
20011118;22.7;14.4;9.39
20011119;22.8;12.7;11.6
20011120;23;10.2;16.99
20011121;23.7;7.2;17.75
20011122;24;10.1;22.63
20011123;23.5;12.2;19.66
20011124;24;5.7;16.72
20011125;23.1;8.7;15.35
20011126;22.9;28.6;19.26
20011127;23.1;6.6;21.24
20011128;22.9;9.9;14.24
20011129;22.9;0.5;16.57
20011130;22.6;14;18.28
20011201;21.8;33.1;13.99
20011202;22.5;6;18.03
20011203;22.1;29.3;18.36
20011204;22;15.6;17.03
20011205;23;1.8;21.97
20011206;22.4;2.8;22.79
20011207;22;11.8;17.57
20011208;21.9;4.7;19.95
20011209;22.3;0.8;21.99
20011210;22.6;0.7;22.28
20011211;23.2;2.4;23.03
20011212;23.1;10.4;20.48
20011213;23.2;18.8;16.45
20011214;23.2;13.3;14.18
20011215;22.8;18.4;15.57
20011216;23.3;7.2;19.45
20011217;23.1;15.1;18.73
20011218;23;11.4;15.82
20011219;22.5;22.6;15.63
20011220;22.6;43.3;15.54
20011221;22.5;30;9.98
20011222;22.6;24.3;19.17
20011223;22.6;4.9;19.84
20011224;23.1;2.7;14.04
20011225;23.6;3.2;22.21
20011226;23.7;0.5;24.76
20011227;23.5;7.6;22.56
20011228;23.9;2.8;23.54
20011229;23.2;8.6;17.18
20011230;22.7;31.5;13.61
20011231;22.5;29.2;5.38
20020101;22.4;22.4;13.37
20020102;22.7;31.8;15.13
20020103;23.3;10.2;19.22
20020104;23.2;3.6;20.94
20020105;22.6;11.5;15.3
20020106;22.6;8.1;19.86
20020107;22.3;13.9;18.26
20020108;23.2;0.8;25.91
20020109;22.8;6.4;18.94
20020110;23.1;10.9;19.11
20020111;24;1;24.79
20020112;23.8;2.1;22.69
20020113;24.1;2;22.44
20020114;23.6;10.3;18.28
20020115;23.6;4.3;19.02
20020116;23.1;21.9;18.45
20020117;23.1;12.3;15.22
20020118;23.1;20.6;8.35
20020119;23.2;12.2;12.59
20020120;23.4;11.5;18.23
20020121;23.2;14.7;16.52
20020122;23;14.6;10.61
20020123;23;16.8;16.06
20020124;22.7;27.6;12.71
20020125;22.7;24.6;7.79
20020126;23.6;11.9;11.32
20020127;23.8;14;16.19
20020128;23.7;16.8;16.07
20020129;23.1;13.3;6.2
20020130;23.2;13.2;8.92
20020131;24.2;20.7;17.51
20020201;23.6;24.7;14.56
20020202;23;15.6;9.18
20020203;23.6;23.1;18.1
20020204;23.4;20.9;10.82
20020205;23.4;16.1;11.87
20020206;24;13.9;16.98
20020207;23.5;14.3;8.53
20020208;23.2;9.7;12.79
20020209;23;15.5;11.64
20020210;23.4;12.8;12.24
20020211;24;3.4;16.42
20020212;23.9;7.1;17.24
20020213;23.3;13.5;14.75
20020214;22.8;22.1;13.76
20020215;23.1;29.3;18.59
20020216;23;13.1;14.46
20020217;22.9;11;17.51
20020218;23.3;8.3;20.57
20020219;23;8.3;19.63
20020220;23.7;7.6;21.81
20020221;23.8;5.5;17.01
20020222;23.4;10.5;13.78
20020223;22.5;6.2;11.21
20020224;22.8;13.2;17.23
20020225;23.1;6.4;18.62
20020226;23.2;17.8;22.64
20020227;23;2.5;20.12
20020228;23.5;2.4;22.71
20020301;23.7;9.1;21.93
20020302;24.3;4.9;23.64
20020303;24.3;0.4;25.61
20020304;24.1;1.3;25.51
20020305;23;4.6;22.64
20020306;23.3;14.9;16.75
20020307;23.3;16.3;9.94
20020308;22.3;30.8;10.67
20020309;22.2;11.6;8.85
20020310;22.7;15.2;16.07
20020311;23.2;18.2;16.52
20020312;23.4;11.6;15.67
20020313;24.1;3.1;21.7
20020314;23.9;8.4;22.73
20020315;23.7;9.5;20.4
20020316;23.8;6.1;22.81
20020317;23.6;5;21.31
20020318;23.2;10;17.68
20020319;23.9;8.7;16.15
20020320;23.6;6.6;19.57
20020321;23.8;0.9;23.23
20020322;24.1;1.7;21.76
20020323;24.3;3.6;19.94
20020324;23.7;9.2;20.12
20020325;24;8.6;21.07
20020326;24.1;3.8;21.75
20020327;23.5;8.4;14.68
20020328;23.5;12.7;14.43
20020329;23.1;17.6;14.72
20020330;23.1;15.9;13.97
20020331;23.2;16.6;11.8
20020401;23.7;9.4;12.91
20020402;22.6;46.6;13.17
20020403;22.6;17;9.52
20020404;22.7;13.7;17.63
20020405;23.4;14.4;14.31
20020406;23.7;21.8;16.73
20020407;23.4;2.5;21.27
20020408;24;1.7;22.73
20020409;23.7;3.1;21.36
20020410;24;1;23.19
20020411;23.8;6.3;20.61
20020412;24.1;0.1;19.25
20020413;24;4.3;19.07
20020414;24;5.4;20.74
20020415;23.7;10.5;20.43
20020416;23.8;2.5;19.7
20020417;23.2;13.8;16.82
20020418;23;12.5;15.99
20020419;23.2;10.7;19.88
20020420;23.4;9;17.9
20020421;23.2;6;13.47
20020422;23.7;3.7;18.23
20020423;23.8;3.5;19.33
20020424;23.9;1;20.87
20020425;24.2;0.1;22.33
20020426;24.1;1.1;20.4
20020427;24.6;0;21.15
20020428;24.5;0.3;21.65
20020429;24.4;0;21.51
