time;;temperature_2m (°C);rain (mm);shortwave_radiation_instant (W/m²)
01/10/2001;00:00;22.2;0;239.5
01/10/2001;01:00;23.8;0;476.4
01/10/2001;02:00;24.9;0.2;658.9
01/10/2001;03:00;25.6;0;717.9
01/10/2001;04:00;26.6;0;838.1
01/10/2001;05:00;26.3;0;643.9
01/10/2001;06:00;24.8;0.1;573.3
01/10/2001;07:00;24.8;0.2;702.6
01/10/2001;08:00;24.9;1.1;379.9
01/10/2001;09:00;23.9;1.5;195.1
01/10/2001;10:00;22.9;0.4;34.6
01/10/2001;11:00;22.7;0;0
01/10/2001;12:00;22.4;0;0
01/10/2001;13:00;22.3;0;0
01/10/2001;14:00;22.3;0.3;0
01/10/2001;15:00;22.4;0;0
01/10/2001;16:00;22;0;0
01/10/2001;17:00;21.9;0;0
01/10/2001;18:00;21.6;0;0
01/10/2001;19:00;21;0;0
01/10/2001;20:00;20.8;0;0
01/10/2001;21:00;21.1;0;0
01/10/2001;22:00;21;0;0
01/10/2001;23:00;21.2;0;31.1
02/10/2001;00:00;22.1;0;205.4
02/10/2001;01:00;23.1;0;443.2
02/10/2001;02:00;24.6;0;736.1
02/10/2001;03:00;25.2;0.1;769
02/10/2001;04:00;26.4;0;781.4
02/10/2001;05:00;23.7;0.6;682.5
02/10/2001;06:00;24.8;0.4;532
02/10/2001;07:00;23.9;0.7;446.3
02/10/2001;08:00;23.2;0.4;227.9
02/10/2001;09:00;23.4;0.2;203.5
02/10/2001;10:00;22.9;0.5;45.7
02/10/2001;11:00;22;0.7;0
02/10/2001;12:00;21.8;0.2;0
02/10/2001;13:00;21.7;0;0
02/10/2001;14:00;21.7;0;0
02/10/2001;15:00;21.6;0;0
02/10/2001;16:00;21.4;0;0
02/10/2001;17:00;21;0;0
02/10/2001;18:00;21;0.1;0
02/10/2001;19:00;21;0.3;0
02/10/2001;20:00;21.1;0.2;0
02/10/2001;21:00;21.2;0;0
02/10/2001;22:00;21.2;0;0
02/10/2001;23:00;21.3;0;28.8
03/10/2001;00:00;22.1;0;190.3
03/10/2001;01:00;23.6;0;427
03/10/2001;02:00;24.7;0;625.8
03/10/2001;03:00;26.2;0;829.7
03/10/2001;04:00;26.5;0;796.7
03/10/2001;05:00;26.5;0.1;897.9
03/10/2001;06:00;25.5;0.8;811.8
03/10/2001;07:00;25;0.6;548.1
03/10/2001;08:00;24.3;5.7;422.9
03/10/2001;09:00;23.6;1.4;209.5
03/10/2001;10:00;22.7;0;53.8
03/10/2001;11:00;22.1;0;0
03/10/2001;12:00;21.8;0;0
03/10/2001;13:00;21.5;0;0
03/10/2001;14:00;21.8;0;0
03/10/2001;15:00;21.8;0.2;0
03/10/2001;16:00;21.8;0.2;0
03/10/2001;17:00;21.7;0.4;0
03/10/2001;18:00;21.3;0.4;0
03/10/2001;19:00;21.2;0.2;0
03/10/2001;20:00;21.1;0;0
03/10/2001;21:00;21;0;0
03/10/2001;22:00;20.7;0.2;0
03/10/2001;23:00;20.8;0;33.2
04/10/2001;00:00;22.4;0;189.8
04/10/2001;01:00;23.2;0;315.2
04/10/2001;02:00;25.1;0;602
04/10/2001;03:00;26.6;0;810.2
04/10/2001;04:00;26.4;0.2;679.3
04/10/2001;05:00;25.8;0.9;551.2
04/10/2001;06:00;24.6;1.3;531.9
04/10/2001;07:00;24.8;8;403
04/10/2001;08:00;23.9;8.1;331.3
04/10/2001;09:00;22.9;1.2;105.9
04/10/2001;10:00;22.2;0.5;19.7
04/10/2001;11:00;22;0.4;0
04/10/2001;12:00;21.8;0.4;0
04/10/2001;13:00;21.7;0.4;0
04/10/2001;14:00;21.6;0.2;0
04/10/2001;15:00;21.4;0;0
04/10/2001;16:00;21.1;0;0
04/10/2001;17:00;21;0.1;0
04/10/2001;18:00;21.2;0.4;0
04/10/2001;19:00;20.9;0.1;0
04/10/2001;20:00;21;0.2;0
04/10/2001;21:00;21.1;0.2;0
04/10/2001;22:00;21.2;0.1;0
04/10/2001;23:00;21.3;0;24.3
05/10/2001;00:00;22.4;0;138.8
05/10/2001;01:00;23.5;0;351.2
05/10/2001;02:00;25.6;0;609.6
05/10/2001;03:00;26.8;0;843.1
05/10/2001;04:00;27.6;0;1024.5
05/10/2001;05:00;27.6;0;895.6
05/10/2001;06:00;27.7;0;890.1
05/10/2001;07:00;27;0;610.4
05/10/2001;08:00;26.1;0;341.6
05/10/2001;09:00;24;0;183.3
