latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.486819,110.246185,378.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),cloud_cover (%),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2001-10-01T00:00,22.2,0.00,31,1,3600.00,164.0,81.0,83.0,302.8,365.1,239.5,118.3,121.2,302.8,533.1
2001-10-01T01:00,23.8,0.00,29,1,3600.00,392.0,265.0,127.0,524.6,689.4,476.4,322.0,154.3,524.6,837.8
2001-10-01T02:00,24.9,0.20,39,1,3600.00,587.0,436.0,151.0,615.1,967.5,658.9,489.4,169.5,615.1,1086.0
2001-10-01T03:00,25.6,0.00,34,1,3600.00,672.0,491.0,181.0,567.8,1180.2,717.9,524.6,193.4,567.8,1260.9
2001-10-01T04:00,26.6,0.00,43,1,3600.00,815.0,588.0,227.0,611.2,1313.2,838.1,604.7,233.4,611.2,1350.5
2001-10-01T05:00,26.3,0.00,97,1,3600.00,648.0,413.0,235.0,415.3,1357.3,643.9,410.4,233.5,415.3,1348.6
2001-10-01T06:00,24.8,0.10,45,1,3600.00,598.0,299.0,299.0,311.7,1309.5,573.3,286.7,286.7,311.7,1255.5
2001-10-01T07:00,24.8,0.20,51,1,3600.00,765.0,613.0,152.0,713.2,1173.2,702.6,563.0,139.6,713.2,1077.5
2001-10-01T08:00,24.9,1.10,67,1,3600.00,440.0,288.0,152.0,410.6,957.5,379.9,248.7,131.2,410.6,826.7
2001-10-01T09:00,23.9,1.50,98,1,3600.00,254.0,134.0,120.0,270.1,677.3,195.1,102.9,92.2,270.1,520.2
2001-10-01T10:00,22.9,0.40,100,1,0.00,68.0,15.0,53.0,58.3,351.5,34.6,7.6,27.0,58.3,178.9
2001-10-01T11:00,22.7,0.00,100,0,0.00,6.0,1.0,5.0,9.8,79.7,0.0,0.0,0.0,0.0,0.0
2001-10-01T12:00,22.4,0.00,100,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T13:00,22.3,0.00,100,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T14:00,22.3,0.30,84,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T15:00,22.4,0.00,87,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T16:00,22.0,0.00,64,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T17:00,21.9,0.00,55,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T18:00,21.6,0.00,40,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T19:00,21.0,0.00,41,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T20:00,20.8,0.00,60,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T21:00,21.1,0.00,74,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T22:00,21.0,0.00,70,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01T23:00,21.2,0.00,64,1,0.00,14.0,3.0,11.0,27.8,88.1,31.1,6.7,24.4,46.5,195.8
2001-10-02T00:00,22.1,0.00,55,1,3600.00,141.0,66.0,75.0,244.9,368.1,205.4,96.1,109.2,244.9,536.1
2001-10-02T01:00,23.1,0.00,56,1,3600.00,365.0,226.0,139.0,445.8,692.3,443.2,274.4,168.8,445.8,840.6
2001-10-02T02:00,24.6,0.00,51,1,3600.00,656.0,520.0,136.0,732.0,970.1,736.1,583.5,152.6,732.0,1088.5
2001-10-02T03:00,25.2,0.10,52,1,3600.00,720.0,527.0,193.0,608.6,1182.5,769.0,562.9,206.1,608.6,1263.0
2001-10-02T04:00,26.4,0.00,53,1,3600.00,760.0,545.0,215.0,566.0,1315.1,781.4,560.4,221.1,566.0,1352.1
